OBJECTID,GID,CITY_NM,CITY_NBR,CITY_FIPS,INC_FLAG,CNTY_SEAT,POP1990,POP2000,POP2010,POP2020,CNTY_NBR,DIST_NBR
2545,425,Skeeterville,,4868108,N,N,,,,,206,23
2546,426,Spring Creek,,4869632,N,N,,,,,206,23
2547,427,Belmena,,0,N,N,,,,,166,17
2548,428,Bowers,,0,N,N,,,,,166,17
2549,429,Maysfield,,4847280,N,N,,,,,166,17
2550,430,Branchville,,4809976,N,N,,,,,166,17
2551,44,Circle,,4814956,N,N,,,,,37,10
2552,431,Pettibone,,4857080,N,N,,,,,166,17
2553,432,Val Verde,,4874876,N,N,,,,,166,17
2554,433,Hanover,,4832132,N,N,,,,,166,17
2555,434,Gause,,4829216,N,N,,,,,166,17
2556,435,Davilla,,4819336,N,N,,,,,166,17
2557,436,Minerva,,4848696,N,N,,,,,166,17
2558,437,Sharp,,4867220,N,N,,,,,166,17
2559,438,San Gabriel,,4865396,N,N,,,,,166,17
2560,439,Handy,,4832072,N,N,,,,,166,17
2561,440,Praesel,,4859216,N,N,,,,,166,17
2562,45,Maydelle,,4847184,N,N,,,,,37,10
2563,441,Crabbs Prairie,,4817456,N,N,,,,,236,17
2564,442,Dodge,,4820704,N,N,,,,,236,17
2565,443,Phelps,,4857224,N,N,,,,,236,17
2566,444,Country Campus,,4817240,N,N,,,,,236,17
2567,445,Hext,,4833440,N,N,,,,,164,7
2568,446,Fort McKavett,,4826760,N,N,,,,,164,7
2569,447,Oakalla,,4852776,N,N,,,,,27,14
2570,448,Lake Victor,,4840840,N,N,,,,,27,14
2571,449,Briggs,,4810276,N,N,,,,,27,14
2572,450,Sherwood Shores,,4867544,N,N,,,1190,,27,14
2573,46,Atoy,,4804552,N,N,,,,,37,10
2574,451,Spicewood,,4869512,N,N,,,,,27,14
2575,452,Oatmeal,,4853280,N,N,,,,,27,14
2576,453,Kings Highway,,0,N,N,,,,,198,17
2577,454,Edge,,4822576,N,N,,,,,21,17
2578,455,Tabor,,4871648,N,N,,,,,21,17
2579,456,Mooring,,4849296,N,N,,,,,21,17
2580,457,Mudville,,4849908,N,N,,,,,21,17
