STATE_NAME,NAMELSAD,lat,lon,geometry,
Alabama,Marengo County,32.24745775,-87.78961305,c(-87.7896130516745, 32.2474577462934)
Wyoming,Lincoln County,42.26047613,-110.6541631,c(-110.654163078721, 42.2604761255964)
Missouri,Barton County,37.50230732,-94.34709655,c(-94.3470965542527, 37.5023073190869)
Texas,Calhoun County,28.43892719,-96.61518042,c(-96.6151804240103, 28.4389271921392)
Virginia,Poquoson city,37.15030006,-76.27050764,c(-76.2705076362282, 37.1503000609818)
West Virginia,Pocahontas County,38.33158371,-80.00833951,c(-80.0083395084241, 38.3315837145242)
Texas,Clay County,33.78518995,-98.20844852,c(-98.208448522828, 33.7851899487016)
Virginia,James City County,37.31327477,-76.77380255,c(-76.7738025521955, 37.3132747691667)
Nebraska,Keith County,41.1988225,-101.66139,c(-101.661390037677, 41.1988225049333)
Nebraska,Phelps County,40.51106253,-99.41452769,c(-99.4145276944088, 40.5110625251249)
Louisiana,Calcasieu Parish,30.22934591,-93.35792381,c(-93.3579238111956, 30.2293459058342)
Louisiana,Union Parish,32.83188328,-92.37471463,c(-92.3747146255044, 32.8318832805141)
Oklahoma,Sequoyah County,35.49539116,-94.75508411,c(-94.7550841119399, 35.4953911648029)
Alabama,DeKalb County,34.45960704,-85.80452493,c(-85.8045249340307, 34.4596070374087)
New York,Steuben County,42.26757657,-77.38366521,c(-77.3836652071187, 42.2675765741304)
Pennsylvania,Forest County,41.51309852,-79.23600958,c(-79.2360095783965, 41.5130985157119)
Louisiana,Tangipahoa Parish,30.62626734,-90.40553623,c(-90.4055362288032, 30.626267337562)
Virginia,Stafford County,38.42066595,-77.45736504,c(-77.4573650435304, 38.4206659507823)
Michigan,Menominee County,45.5243445,-87.50965056,c(-87.5096505572252, 45.5243444952383)
Indiana,Jasper County,41.02274143,-87.11619358,c(-87.1161935840224, 41.0227414349404)
Georgia,Brantley County,31.19686794,-81.98199476,c(-81.9819947615458, 31.1968679436931)
Georgia,Lamar County,33.07649964,-84.13945699,c(-84.1394569934199, 33.0764996364552)
Indiana,Steuben County,41.64385305,-85.00076577,c(-85.0007657681754, 41.6438530489319)
Texas,Orange County,30.12129145,-93.89387113,c(-93.8938711271379, 30.1212914496082)
Ohio,Fayette County,39.55980969,-83.45608287,c(-83.4560828715459, 39.5598096923674)
Massachusetts,Hampshire County,42.34026107,-72.66354127,c(-72.6635412731528, 42.3402610667647)
Kentucky,Allen County,36.75129981,-86.19040431,c(-86.1904043113796, 36.751299805574)
