,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
132,Fred Hurvey,FH-22-24166,NOROVIRUS,Undetermined,5108359.05382858,FH-22-24166,2022-08-15
133,Haskell,HS 22-24167,NOROVIRUS,Undetermined,0,HS 22-24167,2022-08-15
134,Homestead,HO 22-0815,NOROVIRUS,Undetermined,16975795.3363922,HO 22-0815,2022-08-15
135,Intercontinental Airport,IA-22-0815,NOROVIRUS,Undetermined,1275414.45646324,IA-22-0815,2022-08-15
136,John T. Hickerson,JT-22-24165,NOROVIRUS,Undetermined,0,JT-22-24165,2022-08-15
137,Metro Central,MC-22-0815,NOROVIRUS,Undetermined,2337163.18975686,MC-22-0815,2022-08-15
138,Park Ten,PT-22-0815,NOROVIRUS,Undetermined,15584.0358420606,PT-22-0815,2022-08-15
139,Roberto Bustamante,RB 22-24168,NOROVIRUS,Undetermined,149847.858568925,RB 22-24168,2022-08-15
140,Turkey Creek,TC-22-0815,NOROVIRUS,Undetermined,351937.939641635,TC-22-0815,2022-08-15
141,Almeda Sims,AS-22-0822,NOROVIRUS,Undetermined,1486664.23204557,AS-22-0822,2022-08-22
142,Fred Hurvey,FH-22-24933,NOROVIRUS,Undetermined,1562827.32570102,FH-22-24933,2022-08-22
143,Haskell,HS 22-24934,NOROVIRUS,Undetermined,0,HS 22-24934,2022-08-22
144,Homestead,HO 22-0822,NOROVIRUS,Undetermined,1383099.95798073,HO 22-0822,2022-08-22
145,Intercontinental Airport,IA-22-0822,NOROVIRUS,Undetermined,1092354.91758789,IA-22-0822,2022-08-22
146,John T. Hickerson,JT-22-24932,NOROVIRUS,Undetermined,0,JT-22-24932,2022-08-22
147,Metro Central,MC-22-0822,NOROVIRUS,Undetermined,2035931.92327961,MC-22-0822,2022-08-22
148,Park Ten,PT-22-0822,NOROVIRUS,Undetermined,954520.555146483,PT-22-0822,2022-08-22
149,Roberto Bustamante,RB 22-24935,NOROVIRUS,Undetermined,140114.236834885,RB 22-24935,2022-08-22
150,Turkey Creek,TC-22-0822,NOROVIRUS,Undetermined,403643.830489644,TC-22-0822,2022-08-22
151,Almeda Sims,AS-22-0829,NOROVIRUS,Undetermined,0,AS-22-0829,2022-08-29
152,Fred Hurvey,FH-22-26074,NOROVIRUS,Undetermined,1645557.29948798,FH-22-26074,2022-08-29
153,Haskell,HS 22-26075,NOROVIRUS,Undetermined,0,HS 22-26075,2022-08-29
154,Homestead,HO 22-0829,NOROVIRUS,Undetermined,0,HO 22-0829,2022-08-29
155,Intercontinental Airport,IA-22-0829,NOROVIRUS,Undetermined,297489.857248724,IA-22-0829,2022-08-29
156,John T. Hickerson,JT-22-26073,NOROVIRUS,Undetermined,0,JT-22-26073,2022-08-29
157,Metro Central,MC-22-0829,NOROVIRUS,Undetermined,293041.388905363,MC-22-0829,2022-08-29
158,Park Ten,PT-22-0829,NOROVIRUS,Undetermined,2584735.42249732,PT-22-0829,2022-08-29
159,Roberto Bustamante,RB 22-26076,NOROVIRUS,Undetermined,385175.887352745,RB 22-26076,2022-08-29
160,Turkey Creek,TC-22-0829,NOROVIRUS,Undetermined,296550.185113954,TC-22-0829,2022-08-29
161,Almeda Sims,AS-22-0906,NOROVIRUS,Undetermined,0,AS-22-0906,2022-09-05
162,Fred Hurvey,22-26554,NOROVIRUS,Undetermined,0,22-26554,2022-09-05
