,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
89,Roberto Bustamante,RB-22-19329,SARSCOV2N1,Undetermined,66565,RB-22-19329,2022-07-04
90,Turkey Creek,unknown,SARSCOV2N1,Undetermined,542844.143714909,unknown,2022-07-04
91,Almeda Sims,unknown,SARSCOV2N1,Undetermined,111553.091002721,unknown,2022-07-11
92,Fred Hurvey,FH-22-19911,SARSCOV2N1,Undetermined,2275000,FH-22-19911,2022-07-11
93,Haskell,HS-22-19912,SARSCOV2N1,Undetermined,1022000,HS-22-19912,2022-07-11
94,Homestead,unknown,SARSCOV2N1,Undetermined,736750.294708324,unknown,2022-07-11
95,Intercontinental Airport,unknown,SARSCOV2N1,Undetermined,442060.396176766,unknown,2022-07-11
96,John T. Hickerson,JT-22-19910,SARSCOV2N1,Undetermined,248000,JT-22-19910,2022-07-11
97,Metro Central,unknown,SARSCOV2N1,Undetermined,1314729.61958294,unknown,2022-07-11
98,Park Ten,unknown,SARSCOV2N1,Undetermined,645794.752531313,unknown,2022-07-11
99,Roberto Bustamante,RB-22-19913,SARSCOV2N1,Undetermined,3520000,RB-22-19913,2022-07-11
100,Turkey Creek,unknown,SARSCOV2N1,Undetermined,801792.987771319,unknown,2022-07-11
101,Almeda Sims,NA,SARSCOV2N1,NA,0,NA,2022-07-18
102,Fred Hurvey,FH-22-20960,SARSCOV2N1,Undetermined,1725000,FH-22-20960,2022-07-18
103,Haskell,HS-22-20961,SARSCOV2N1,Undetermined,522500,HS-22-20961,2022-07-18
104,Homestead,NA,SARSCOV2N1,NA,0,NA,2022-07-18
105,Intercontinental Airport,NA,SARSCOV2N1,NA,0,NA,2022-07-18
106,John T. Hickerson,JT-22-20959,SARSCOV2N1,Undetermined,132150,JT-22-20959,2022-07-18
107,Metro Central,NA,SARSCOV2N1,NA,0,NA,2022-07-18
108,Park Ten,NA,SARSCOV2N1,NA,0,NA,2022-07-18
109,Roberto Bustamante,RB-22-20962,SARSCOV2N1,Undetermined,4055000,RB-22-20962,2022-07-18
110,Turkey Creek,NA,SARSCOV2N1,NA,0,NA,2022-07-18
111,Almeda Sims,AS-22-0726,SARSCOV2N1,Undetermined,94356.5234816268,AS-22-0726,2022-07-25
112,Fred Hurvey,22-21659,SARSCOV2N1,Undetermined,1222181.9971578,22-21659,2022-07-25
113,Haskell,22-21660,SARSCOV2N1,Undetermined,316778.95755169,22-21660,2022-07-25
114,Homestead,HO-22-0726,SARSCOV2N1,Undetermined,288296.794801187,HO-22-0726,2022-07-25
115,Intercontinental Airport,IA-22-0726,SARSCOV2N1,Undetermined,844664.553529172,IA-22-0726,2022-07-25
116,John T. Hickerson,22-21658,SARSCOV2N1,Undetermined,118006.065394873,22-21658,2022-07-25
117,Metro Central,MC-22-0726,SARSCOV2N1,Undetermined,604259.579391664,MC-22-0726,2022-07-25
118,Park Ten,PT-22-0726,SARSCOV2N1,Undetermined,631019.168415422,PT-22-0726,2022-07-25
119,Roberto Bustamante,22-21661,SARSCOV2N1,Undetermined,2055617.63045119,22-21661,2022-07-25
120,Turkey Creek,TC-22-0726,SARSCOV2N1,Undetermined,1473398.82182786,TC-22-0726,2022-07-25
121,Almeda Sims,AI-22-0802,SARSCOV2N1,Undetermined,191155.447616288,AI-22-0802,2022-08-01
122,Fred Hurvey,FH-22-22421,SARSCOV2N1,Undetermined,723445.361908407,FH-22-22421,2022-08-01
123,Haskell,HS-22-22422,SARSCOV2N1,Undetermined,115555.850299893,HS-22-22422,2022-08-01
124,Homestead,H0-22-0802,SARSCOV2N1,Undetermined,668587.805679539,H0-22-0802,2022-08-01
125,Intercontinental Airport,IA-22-0802,SARSCOV2N1,Undetermined,747559.591002846,IA-22-0802,2022-08-01
126,John T. Hickerson,JT-22-22420,SARSCOV2N1,Undetermined,125322.069077706,JT-22-22420,2022-08-01
127,Metro Central,MC-22-0802,SARSCOV2N1,Undetermined,366265.77505253,MC-22-0802,2022-08-01
128,Park Ten,PT-22-0802,SARSCOV2N1,Undetermined,681548.902057242,PT-22-0802,2022-08-01
129,Roberto Bustamante,RB-22-22423,SARSCOV2N1,Undetermined,777292.779779459,RB-22-22423,2022-08-01
130,Turkey Creek,TC-22-0802,SARSCOV2N1,Undetermined,620527.170420479,TC-22-0802,2022-08-01
131,Almeda Sims,AI-22-0808,SARSCOV2N1,Undetermined,117150.808657776,AI-22-0808,2022-08-08
132,Fred Hurvey,22-23436,SARSCOV2N1,Undetermined,489476.287867066,22-23436,2022-08-08
133,Haskell,22-23437,SARSCOV2N1,Undetermined,306754.534914517,22-23437,2022-08-08
134,Homestead,H0-22-0808,SARSCOV2N1,Undetermined,333611.777329441,H0-22-0808,2022-08-08
135,Intercontinental Airport,IA-22-0808,SARSCOV2N1,Undetermined,368896.811898978,IA-22-0808,2022-08-08
136,John T. Hickerson,22-23435,SARSCOV2N1,Undetermined,153931.21456743,22-23435,2022-08-08
