"","LocationAbbr","CMMR_Barcode","Target","Ct","copiesperml","SampleName","date_of_collection"
"40","HS","M2R98S","DENGUE","Undetermined",0,"HS-23-16176",2023-06-01
"41","RB","A9Y94T","DENGUE","Undetermined",0,"RB-23-16177",2023-06-01
"42","RB","A9Y94T","DENGUE","Undetermined",0,"RB-23-16177",2023-06-01
"43","LB","G9BBYC","DENGUE","Undetermined",0,"LB_TX1 005312023",2023-05-31
"44","LB","G9BBYC","DENGUE","Undetermined",0,"LB_TX1 005312023",2023-05-31
"45","WF","QKDWNF","DENGUE","Undetermined",0,"Wichita Falls-2023-05-31",2023-05-31
"46","WF","QKDWNF","DENGUE","Undetermined",0,"Wichita Falls-2023-05-31",2023-05-31
"47","B1","L2N2CZ","DENGUE","Undetermined",0,"BSR53123",2023-06-01
"48","B1","L2N2CZ","DENGUE","Undetermined",0,"BSR53123",2023-06-01
"49","B2","ZR846F","DENGUE","Undetermined",0,"SABIB53123",2023-06-01
"50","B2","ZR846F","DENGUE","Undetermined",0,"SABIB53123",2023-06-01
"51","BC","WLFVVY","DENGUE","Undetermined",0,"BTC-2023-05-28",2023-05-28
"52","BC","WLFVVY","DENGUE","Undetermined",0,"BTC-2023-05-28",2023-05-28
"53","BW","K5XABF","DENGUE","Undetermined",0,"BTW-2023-05-28",2023-05-28
"54","BW","K5XABF","DENGUE","Undetermined",0,"BTW-2023-05-28",2023-05-28
"55","HW","XKMKGH","DENGUE","Undetermined",0,"HW-2023-05-28",2023-05-28
"56","HW","XKMKGH","DENGUE","Undetermined",0,"HW-2023-05-28",2023-05-28
"57","FR","HU3LQX","DENGUE","Undetermined",0,"Fon-2023-05-28",2023-05-28
"58","FR","HU3LQX","DENGUE","Undetermined",0,"Fon-2023-05-28",2023-05-28
"59","TC","MRUD6W","DENGUE","Undetermined",0,"TC-23-0601",2023-06-01
"60","TC","MRUD6W","DENGUE","Undetermined",0,"TC-23-0601",2023-06-01
"61","MC","NW3NEY","DENGUE","Undetermined",0,"CC-23-0601",2023-06-01
"62","MC","NW3NEY","DENGUE","Undetermined",0,"CC-23-0601",2023-06-01
"63","IA","V639HT","DENGUE","Undetermined",0,"IA-23-0601",2023-06-01
"64","IA","V639HT","DENGUE","Undetermined",0,"IA-23-0601",2023-06-01
"65","PT","BASRPU","DENGUE","Undetermined",0,"PT-23-0601",2023-06-01
"66","PT","BASRPU","DENGUE","Undetermined",0,"PT-23-0601",2023-06-01
"67","HO","VLDXXX","DENGUE","Undetermined",0,"HO-23-0601",2023-06-01
"68","HO","VLDXXX","DENGUE","Undetermined",0,"HO-23-0601",2023-06-01
"69","JT","PFGRWE","ENTERO","Undetermined",0,"JT-23-16174",2023-06-01
"70","JT","PFGRWE","ENTERO","Undetermined",0,"JT-23-16174",2023-06-01
"71","FH","Q4MXHS","ENTERO","Undetermined",0,"FH-23-16175",2023-06-01
"72","FH","Q4MXHS","ENTERO","Undetermined",0,"FH-23-16175",2023-06-01
"73","HS","M2R98S","ENTERO","Undetermined",0,"HS-23-16176",2023-06-01
"74","HS","M2R98S","ENTERO","Undetermined",0,"HS-23-16176",2023-06-01
"75","RB","A9Y94T","ENTERO","Undetermined",0,"RB-23-16177",2023-06-01
"76","RB","A9Y94T","ENTERO","Undetermined",0,"RB-23-16177",2023-06-01
"77","LB","G9BBYC","ENTERO","Undetermined",0,"LB_TX1 005312023",2023-05-31
"78","LB","G9BBYC","ENTERO","Undetermined",0,"LB_TX1 005312023",2023-05-31
"79","WF","QKDWNF","ENTERO","Undetermined",0,"Wichita Falls-2023-05-31",2023-05-31
"80","WF","QKDWNF","ENTERO","Undetermined",0,"Wichita Falls-2023-05-31",2023-05-31
"81","B1","L2N2CZ","ENTERO","Undetermined",0,"BSR53123",2023-06-01
"82","B1","L2N2CZ","ENTERO","Undetermined",0,"BSR53123",2023-06-01
"83","B2","ZR846F","ENTERO","Undetermined",0,"SABIB53123",2023-06-01
"84","B2","ZR846F","ENTERO","Undetermined",0,"SABIB53123",2023-06-01
"85","BC","WLFVVY","ENTERO","Undetermined",0,"BTC-2023-05-28",2023-05-28
"86","BC","WLFVVY","ENTERO","Undetermined",0,"BTC-2023-05-28",2023-05-28
"87","BW","K5XABF","ENTERO","Undetermined",0,"BTW-2023-05-28",2023-05-28
"88","BW","K5XABF","ENTERO","Undetermined",0,"BTW-2023-05-28",2023-05-28
"89","HW","XKMKGH","ENTERO","Undetermined",0,"HW-2023-05-28",2023-05-28
"90","HW","XKMKGH","ENTERO","Undetermined",0,"HW-2023-05-28",2023-05-28
